hour,2017,2018,2019,2020,2021,mean
0,0.01,0.01,0.01,0.01,0.01,0.01
1,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01
4,0.02,0.02,0.02,0.02,0.02,0.02
5,0.29,0.28,0.28,0.28,0.27,0.28
6,1.26,1.17,1.24,1.22,1.16,1.21
7,3.25,3.27,3.34,3.11,3.15,3.2239999999999993
8,6.17,6.57,5.9,6.39,5.76,6.1579999999999995
9,9.86,9.34,8.96,9.25,9.09,9.3
10,12.47,12.38,11.33,12.28,11.16,11.924000000000001
11,14.01,13.7,13.61,14.98,13.64,13.988
12,14.82,14.7,13.2,14.06,14.31,14.218
13,14.3,14.06,12.37,12.87,12.93,13.306000000000001
14,11.77,11.69,10.37,10.97,11.94,11.347999999999999
15,8.57,8.43,7.43,7.69,7.76,7.975999999999999
16,5.13,4.92,4.52,4.65,4.62,4.768
17,2.57,2.37,2.17,2.22,2.18,2.302
18,0.68,0.73,0.7,0.71,0.7,0.7040000000000001
19,0.1,0.11,0.1,0.11,0.1,0.10400000000000001
20,0.01,0.01,0.01,0.01,0.01,0.01
21,0.01,0.01,0.01,0.01,0.01,0.01
22,0.01,0.01,0.01,0.02,0.01,0.012
23,0.01,0.03,0.01,0.01,0.01,0.014000000000000002
