Cancer site/type,Tobacco use,"Overweight and 
obesity",Alcohol use,"Combined dietary 
risks",High sun exposure,Diabetes,"Occupational 
exposures and 
hazards",Physical inactivity,Illicit drug use,Unsafe sex,Air pollution
Lung cancer,"122,178",. .,. .,"5,927",. .,"10,463","11,668",. .,. .,. .,"5,430"
Oesophageal cancer,"12,323","8,204","5,162","5,584",. .,. .,. .,. .,. .,. .,. .
Pancreatic cancer,"11,154","4,953",. .,. .,. .,"3,419",. .,. .,. .,. .,. .
Liver cancer,"7,685","10,218","16,302",. .,. .,"2,658",. .,. .,"10,893",354,. .
Colorectal cancer,"6,619","13,169","5,697","25,635",. .,"5,999",. .,"11,497",. .,. .,. .
Lip and oral cavity cancers,"5,780",. .,"3,824",. .,. .,. .,. .,. .,. .,. .,. .
Bladder cancer,"4,397",. .,. .,. .,. .,"1,016",. .,. .,. .,. .,. .
Breast cancer,"3,967","5,399","7,988","2,338",. .,"3,087",. .,"2,308",. .,. .,. .
Leukaemia ,"3,340","3,571",. .,. .,. .,. .,"1,047",. .,. .,. .,. .
Stomach cancer,"2,774",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Kidney cancer,"2,604","4,384",. .,. .,. .,. .,2,. .,. .,. .,. .
Laryngeal cancer,"2,557",. .,811,. .,. .,. .,84,. .,. .,. .,. .
Prostate cancer,"2,409",. .,. .,. .,. .,. .,. .,. .,. .,. .,. .
Nasopharyngeal cancer,893,. .,690,. .,. .,. .,4,. .,. .,. .,. .
Cervical cancer,498,. .,. .,. .,. .,. .,. .,. .,. .,"6,750",. .
Uterine cancer,. .,"5,127",. .,. .,. .,. .,. .,"1,616",. .,. .,. .
Non-Hodgkin lymphoma,. .,"2,333",. .,. .,. .,. .,. .,. .,. .,. .,. .
Myeloma,. .,"1,741",. .,. .,. .,. .,. .,. .,. .,. .,. .
Gallbladder cancer,. .,"1,282",. .,. .,. .,. .,. .,. .,. .,. .,. .
Ovarian cancer,. .,851,. .,. .,. .,961,32,. .,. .,. .,. .
Thyroid cancer,. .,574,. .,. .,. .,. .,. .,. .,. .,. .,. .
Mesothelioma,. .,. .,. .,. .,. .,. .,"6,951",. .,. .,. .,. .
Other oral cavity and pharynx cancers,. .,. .,"2,787",. .,. .,. .,. .,. .,. .,. .,. .
Melanoma of the skin,. .,. .,. .,. .,"25,910",. .,. .,. .,. .,. .,. .
Non-melanoma of the skin,. .,. .,. .,. .,"9,421",. .,. .,. .,. .,. .,. .
Total,"189,178","61,805","43,260","39,485","35,330","27,604","19,787","15,420","10,893","7,104","5,430"
,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
